"account_type","account_class","account_group","account","account_number"
"Personnel","Fringe Benefits","Employee Offset Savings","CERS-UAAL L127 Skilled Trades","502038"
"Personnel","Fringe Benefits","Employee Offset Savings","CERS-UAAL MEA Adm/Field","502033"
"Personnel","Fringe Benefits","Employee Offset Savings","CERS-UAAL MEA Professional","502037"
"Personnel","Fringe Benefits","Employee Offset Savings","CERS-UAAL MEA Supervisory","502039"
"Personnel","Fringe Benefits","Employee Offset Savings","CERS-UAAL MEA Technical","502040"
"Personnel","Fringe Benefits","Employee Offset Savings","CERS-UAAL Police Active","502044"
"Personnel","Fringe Benefits","Employee Offset Savings","CERS-UAAL Police DROP","502036"
"Personnel","Fringe Benefits","Employee Offset Savings","CERS-UAAL Unclass-Unrepresented","502043"
"Personnel","Fringe Benefits","Employee Offset Savings","Pension Liability Contribution","502053"
"Personnel","Fringe Benefits","Flexible Benefits","Dues & Seminar Fees - MBP","502058"
"Personnel","Fringe Benefits","Flexible Benefits","Flexible Benefit Plan","502047"
"Personnel","Fringe Benefits","Flexible Benefits","Management Fringe Benefits","502057"
"Personnel","Fringe Benefits","Insurance","Cancer Insurances","502059"
"Personnel","Fringe Benefits","Insurance","Exec Life Insurance Premium","502060"
"Personnel","Fringe Benefits","Insurance","Group Life Insurance","502070"
"Personnel","Fringe Benefits","Insurance","Insurance Premium - Employee","502063"
"Personnel","Fringe Benefits","Insurance","Supplemental Insurance","502071"
"Personnel","Fringe Benefits","Long-Term Disability","Long Term Disability","502049"
"Personnel","Fringe Benefits","Medicare","Fica/Medicare Insurance","502051"
"Personnel","Fringe Benefits","Other","Auditor Year End Adj","502074"
"Personnel","Fringe Benefits","Other","Fringe Benefit Transfer","502061"
"Personnel","Fringe Benefits","Other","Fringe Load","502078"
"Personnel","Fringe Benefits","Other","Fringe Quarterly Report Adjust-Fixed","502097"
"Personnel","Fringe Benefits","Other","Fringe Quarterly Report Adjustment","502076"
"Personnel","Fringe Benefits","Other","Fringe Quarterly Report Adjust-Variable","502098"
"Personnel","Fringe Benefits","Other","Fringe Year-End Close Adjustment","502075"
"Personnel","Fringe Benefits","Other Post-Employment Benefits","Other Post Employment Benefits","502054"
"Personnel","Fringe Benefits","Other Post-Employment Benefits","Retiree Health Contribution","502052"
"Personnel","Fringe Benefits","Retiree Health Contribution","Retiree Health Contribution Option C-Fire","502089"
"Personnel","Fringe Benefits","Retiree Health Contribution","Retiree Health Contribution Option C-General","502087"
"Personnel","Fringe Benefits","Retiree Health Contribution","Retiree Health Contribution Option C-Lifeguard","502090"
"Personnel","Fringe Benefits","Retiree Health Contribution","Retiree Health Contribution Option C-Police","502088"
"Personnel","Fringe Benefits","Retiree Health Contribution","Retiree Health Mandatory Contribution-Fire","502096"
"Personnel","Fringe Benefits","Retiree Medical Trust","Employer Contrib RMT","502077"
"Personnel","Fringe Benefits","Retirement 401 Plan","401(A) Plan Mandatory","502067"
"Personnel","Fringe Benefits","Retirement 401 Plan","401(A) Plan Voluntary","502068"
"Personnel","Fringe Benefits","Retirement ADC","CERS - General Retirement","502012"
"Personnel","Fringe Benefits","Retirement ADC","CERS - General Retirement 2010","502065"
"Personnel","Fringe Benefits","Retirement ADC","CERS-Gen Ret 2010 Addt'l Cont","502066"
"Personnel","Fringe Benefits","Retirement ADC","CERS-Gen Ret Addt'l Cont","502013"
"Personnel","Fringe Benefits","Retirement ADC","CERS - Legislative Retire","502010"
"Personnel","Fringe Benefits","Retirement ADC","CERS-Legis Ret Addt'l Cont","502011"
"Personnel","Fringe Benefits","Retirement ADC","CERS-Safety Fire 2012 Additional Contribution","502082"
"Personnel","Fringe Benefits","Retirement ADC","CERS-Safety Lifeguard 2012 Additional Contribution","502084"
"Personnel","Fringe Benefits","Retirement ADC","CERS-Safety Police 2010 Additional Contribution","502080"
"Personnel","Fringe Benefits","Retirement ADC","CERS-Safety Police 2012 Additional Contribution","502086"
"Personnel","Fringe Benefits","Retirement ADC","CERS-Safety Police 2013 Additional Contribution","502092"
"Personnel","Fringe Benefits","Retirement ADC","CERS-Safety Retirement-Fire 2012","502081"
"Personnel","Fringe Benefits","Retirement ADC","CERS-Safety Retirement-Lifeguard 2012","502083"
"Personnel","Fringe Benefits","Retirement ADC","CERS-Safety Retirement-Police 2010","502079"
"Personnel","Fringe Benefits","Retirement ADC","CERS-Safety Retirement-Police 2012","502085"
"Personnel","Fringe Benefits","Retirement ADC","CERS-Safety Retirement-Police 2013","502091"
"Personnel","Fringe Benefits","Retirement ADC","CERS-Safety Retirement-Police 2014","502093"
"Personnel","Fringe Benefits","Retirement ADC","CERS-Saf-Fire Addt'l Cont","502018"
"Personnel","Fringe Benefits","Retirement ADC","CERS-Saf-Lfgd Addt'l Cont","502020"
"Personnel","Fringe Benefits","Retirement ADC","CERS-Saf Pol Addt'l Cont","502016"
"Personnel","Fringe Benefits","Retirement ADC","CERS - Saf Ret - Fire","502017"
"Personnel","Fringe Benefits","Retirement ADC","CERS - Saf Ret - Lifeguard","502019"
"Personnel","Fringe Benefits","Retirement ADC","CERS - Saf Ret - Police","502015"
"Personnel","Fringe Benefits","Retirement DROP","CERS - DROP - General","502029"
"Personnel","Fringe Benefits","Retirement DROP","CERS - DROP - Saf-Fire","502031"
"Personnel","Fringe Benefits","Retirement DROP","CERS - DROP - Saf-Lifeguard","502032"
"Personnel","Fringe Benefits","Retirement DROP","CERS - DROP - Saf-Police","502030"
"Personnel","Fringe Benefits","Retirement Offset Contribution","CERS - General Offset","502025"
"Personnel","Fringe Benefits","Retirement Offset Contribution","CERS - Legislative Offset","502024"
"Personnel","Fringe Benefits","Retirement Offset Contribution","CERS - Saf Offset-Fire","502027"
"Personnel","Fringe Benefits","Retirement Offset Contribution","CERS - Saf Offset-Lifeguard","502028"
"Personnel","Fringe Benefits","Retirement Offset Contribution","CERS - Saf Offset-Police","502026"
"Personnel","Fringe Benefits","Retirement Offset Contribution","Retirement Contribution Offset","502023"
"Personnel","Fringe Benefits","Risk Management Administration","Risk Management Admin","502055"
"Personnel","Fringe Benefits","Risk Management Administration","Risk Mgmt Administration","502048"
"Personnel","Fringe Benefits","Supplemental Pension Savings Plan","SPSP Benefit Pay 60%","502064"
"Personnel","Fringe Benefits","Supplemental Pension Savings Plan","SPSP-H Budgeted","502073"
"Personnel","Fringe Benefits","Supplemental Pension Savings Plan","SPSP-H General Members","502094"
"Personnel","Fringe Benefits","Supplemental Pension Savings Plan","SPSP-H Public Safety Members","502095"
"Personnel","Fringe Benefits","Supplemental Pension Savings Plan","Supp Pens Sav Plan Mandatory","502021"
"Personnel","Fringe Benefits","Supplemental Pension Savings Plan","Supp Pens Sav Plan Voluntary","502022"
"Personnel","Fringe Benefits","Unemployment Insurance","Unemployment Insurance","502050"
"Personnel","Fringe Benefits","Unused Sick Leave","Unused Sick Leave","502056"
"Personnel","Fringe Benefits","Workers' Compensation","Workers' Comp Insurance","502046"
"Personnel","Personnel Cost","Other Personnel Expenditures","Adjust Budget To Approved Levels","500199"
"Personnel","Personnel Cost","Other Personnel Expenditures","Budgeted Personnel Expenditure Savings","500189"
"Personnel","Personnel Cost","Salaries","2-Wheel Motorcyle (POA)","500096"
"Personnel","Personnel Cost","Salaries","3-Wheel Motorcyle (MEA)","500097"
"Personnel","Personnel Cost","Salaries","Acct Recon Pay","500058"
"Personnel","Personnel Cost","Salaries","Advanced Post Certificate","500051"
"Personnel","Personnel Cost","Salaries","Air Operations Pay","500070"
"Personnel","Personnel Cost","Salaries","Air Support Trainer","500069"
"Personnel","Personnel Cost","Salaries","A/L Bereavement Pay","500016"
"Personnel","Personnel Cost","Salaries","Asbestos Containment Team","500050"
"Personnel","Personnel Cost","Salaries","ASE Damage Estimate","500042"
"Personnel","Personnel Cost","Salaries","AWWA WDP Cert Pay","500044"
"Personnel","Personnel Cost","Salaries","Backflow Cert","500040"
"Personnel","Personnel Cost","Salaries","Battalion Medical Off","500088"
"Personnel","Personnel Cost","Salaries","Bid To Goal Pay","500032"
"Personnel","Personnel Cost","Salaries","Bilingual - Dispatcher","500052"
"Personnel","Personnel Cost","Salaries","Bilingual Pay Fire","500054"
"Personnel","Personnel Cost","Salaries","Bilingual - POA","500053"
"Personnel","Personnel Cost","Salaries","Bilingual - Regular","500055"
"Personnel","Personnel Cost","Salaries","CADD Certification","500035"
"Personnel","Personnel Cost","Salaries","Canine Care","500076"
"Personnel","Personnel Cost","Salaries","Cliff Rescue Inst Pay","500091"
"Personnel","Personnel Cost","Salaries","Collison Repair Cert","500045"
"Personnel","Personnel Cost","Salaries","Core Instructor Pay","500056"
"Personnel","Personnel Cost","Salaries","Crime Scene Response","500048"
"Personnel","Personnel Cost","Salaries","Cross Connection Cert","500041"
"Personnel","Personnel Cost","Salaries","CSO Field Training Pay","500072"
"Personnel","Personnel Cost","Salaries","'D' Div Pay","500098"
"Personnel","Personnel Cost","Salaries","Detective Pay","500057"
"Personnel","Personnel Cost","Salaries","Dispatch Cert Pay","500047"
"Personnel","Personnel Cost","Salaries","Dispatcher Training","500060"
"Personnel","Personnel Cost","Salaries","Dive Team Pay","500059"
"Personnel","Personnel Cost","Salaries","D/L-Dept Award","500025"
"Personnel","Personnel Cost","Salaries","D/L-Furlough","500024"
"Personnel","Personnel Cost","Salaries","D/L-Standby","500026"
"Personnel","Personnel Cost","Salaries","Emergency Medical Tech","500062"
"Personnel","Personnel Cost","Salaries","EMS Speciality Pay","500063"
"Personnel","Personnel Cost","Salaries","Engineering Geologist Pay","500061"
"Personnel","Personnel Cost","Salaries","Exceptional Performance Pay-Classified","500012"
"Personnel","Personnel Cost","Salaries","Exceptional Performance Pay-Unclassified","500027"
"Personnel","Personnel Cost","Salaries","Explosive Ord Sqd","500064"
"Personnel","Personnel Cost","Salaries","Field Training Pay","500071"
"Personnel","Personnel Cost","Salaries","Flight Pay","500068"
"Personnel","Personnel Cost","Salaries","Grds/Greenskpr Eq Op","500073"
"Personnel","Personnel Cost","Salaries","Hazardous Mat. Squad","500074"
"Personnel","Personnel Cost","Salaries","Holidays","500018"
"Personnel","Personnel Cost","Salaries","ICBO Certification","500036"
"Personnel","Personnel Cost","Salaries","Industrial Leave","500022"
"Personnel","Personnel Cost","Salaries","Industrial Leave-Police & Fire Safety Personnel","500130"
"Personnel","Personnel Cost","Salaries","Intermediate Post Certificate","500075"
"Personnel","Personnel Cost","Salaries","Jury Duty","500019"
"Personnel","Personnel Cost","Salaries","K-9 Handler Fire","500079"
"Personnel","Personnel Cost","Salaries","Labor Load","500131"
"Personnel","Personnel Cost","Salaries","Ladder Repair","500099"
"Personnel","Personnel Cost","Salaries","Landscape Architect Lic","500080"
"Personnel","Personnel Cost","Salaries","Latent Print Exam Cert","500038"
"Personnel","Personnel Cost","Salaries","Master Library Degree","500039"
"Personnel","Personnel Cost","Salaries","Metro Arson Strike Team","500081"
"Personnel","Personnel Cost","Salaries","Military Leave","500020"
"Personnel","Personnel Cost","Salaries","Mounted Patrol","500077"
"Personnel","Personnel Cost","Salaries","Mounted Patrol Trainer","500078"
"Personnel","Personnel Cost","Salaries","Night Shift Pay","500082"
"Personnel","Personnel Cost","Salaries","OCA Pay","500034"
"Personnel","Personnel Cost","Salaries","Paramedic Pay","500083"
"Personnel","Personnel Cost","Salaries","Paramedic Recert Bonus","500030"
"Personnel","Personnel Cost","Salaries","Paramedic Splty Pay","500084"
"Personnel","Personnel Cost","Salaries","Paramedic Tring Off","500085"
"Personnel","Personnel Cost","Salaries","Paramedic Tring Temp","500086"
"Personnel","Personnel Cost","Salaries","Parental Leave","500135"
"Personnel","Personnel Cost","Salaries","Pay For Performance","500031"
"Personnel","Personnel Cost","Salaries","Performance Pay-Unclassified","500029"
"Personnel","Personnel Cost","Salaries","President Leave-Union","500023"
"Personnel","Personnel Cost","Salaries","Reg Pay For Engineers","500066"
"Personnel","Personnel Cost","Salaries","Right Of Way Cert","500037"
"Personnel","Personnel Cost","Salaries","River Rescue Team-Full Time","500089"
"Personnel","Personnel Cost","Salaries","River Rescue Team-Part Time","500090"
"Personnel","Personnel Cost","Salaries","Salaried Wages","500011"
"Personnel","Personnel Cost","Salaries","Salary Savings","500010"
"Personnel","Personnel Cost","Salaries","Salary Year-End Close Adjustment","500132"
"Personnel","Personnel Cost","Salaries","Sanitation Driver - 1 Per","500093"
"Personnel","Personnel Cost","Salaries","Sewer Maint Pay","500049"
"Personnel","Personnel Cost","Salaries","Sick Leave","500013"
"Personnel","Personnel Cost","Salaries","Sick Leave/Vacation Accrual","500015"
"Personnel","Personnel Cost","Salaries","Special Pay Adjustment","500198"
"Personnel","Personnel Cost","Salaries","Split Shift Pay","500094"
"Personnel","Personnel Cost","Salaries","Staff Sgt Admin Pay","500046"
"Personnel","Personnel Cost","Salaries","Standby Pay","500092"
"Personnel","Personnel Cost","Salaries","Star Team Paramedic","500087"
"Personnel","Personnel Cost","Salaries","Structural Registration","500067"
"Personnel","Personnel Cost","Salaries","Swat Team Pay","500095"
"Personnel","Personnel Cost","Salaries","Temp CIP City Force Wages","500033"
"Personnel","Personnel Cost","Salaries","Termination Pay Annual Leave","500028"
"Personnel","Personnel Cost","Salaries","Urban Search & Rescue","500065"
"Personnel","Personnel Cost","Salaries","Vacation","500014"
"Personnel","Personnel Cost","Salaries","Vacation Pay In Lieu","500017"
"Personnel","Personnel Cost","Salaries","Welding Certification","500043"
"Personnel","Personnel Cost","Salaries","Witness Duty","500021"
"Personnel","Personnel Cost","Special Pays","2nd Watch Shift","500112"
"Personnel","Personnel Cost","Special Pays","3rd Watch Shift","500111"
"Personnel","Personnel Cost","Special Pays","Admin Assign Pay","500109"
"Personnel","Personnel Cost","Special Pays","Airport Transfer","500108"
"Personnel","Personnel Cost","Special Pays","Annual Pump Testing","500102"
"Personnel","Personnel Cost","Special Pays","Approved Administrative Leave","500158"
"Personnel","Personnel Cost","Special Pays","Architect License Pay","500161"
"Personnel","Personnel Cost","Special Pays","ASE Cert","500116"
"Personnel","Personnel Cost","Special Pays","ASE Master Cert","500117"
"Personnel","Personnel Cost","Special Pays","Bay Rescue Boat Operator Cert Pay","500139"
"Personnel","Personnel Cost","Special Pays","Bilingual Temp MEA","500104"
"Personnel","Personnel Cost","Special Pays","Breathing Apparatus Rep","500103"
"Personnel","Personnel Cost","Special Pays","Chief Attorney Pay","500159"
"Personnel","Personnel Cost","Special Pays","City PSE Wages","500122"
"Personnel","Personnel Cost","Special Pays","Class B","500118"
"Personnel","Personnel Cost","Special Pays","Coast Guard License Pay","500144"
"Personnel","Personnel Cost","Special Pays","Comm Relations","500119"
"Personnel","Personnel Cost","Special Pays","Comp Time","500126"
"Personnel","Personnel Cost","Special Pays","Comp Time Add-Ons","500137"
"Personnel","Personnel Cost","Special Pays","Comp Time - Sick","500125"
"Personnel","Personnel Cost","Special Pays","Confined Space Pay","500113"
"Personnel","Personnel Cost","Special Pays","Division Medical Officer Pay","500143"
"Personnel","Personnel Cost","Special Pays","Educational Incentive Pay","500163"
"Personnel","Personnel Cost","Special Pays","Electrician Cert Pay","500145"
"Personnel","Personnel Cost","Special Pays","Emergency Duty Pay","500164"
"Personnel","Personnel Cost","Special Pays","Emergency Negotiator","500120"
"Personnel","Personnel Cost","Special Pays","Engineering Geologist Pay","500153"
"Personnel","Personnel Cost","Special Pays","Fire Admin Assign","500110"
"Personnel","Personnel Cost","Special Pays","Fire Boat Operator Cert Pay","500140"
"Personnel","Personnel Cost","Special Pays","Geographic Info Cert Pay","500129"
"Personnel","Personnel Cost","Special Pays","Geotechnical Engineer Pay","500154"
"Personnel","Personnel Cost","Special Pays","Greenskeeper Pay","500147"
"Personnel","Personnel Cost","Special Pays","Holiday Credit on Day Off","500136"
"Personnel","Personnel Cost","Special Pays","Hose Repair","500101"
"Personnel","Personnel Cost","Special Pays","Hourly Wages","500121"
"Personnel","Personnel Cost","Special Pays","Infrastructure In-Training Pay","500151"
"Personnel","Personnel Cost","Special Pays","Infrastructure Registration Pay","500150"
"Personnel","Personnel Cost","Special Pays","Lead/Supervising Attorney Pay","500160"
"Personnel","Personnel Cost","Special Pays","Light/Air Pay","500166"
"Personnel","Personnel Cost","Special Pays","Mobile Crane Operator License Pay","500146"
"Personnel","Personnel Cost","Special Pays","Nursery Gardener Pay","500148"
"Personnel","Personnel Cost","Special Pays","Other Certification Pays","500168"
"Personnel","Personnel Cost","Special Pays","Overtime Budgeted","500128"
"Personnel","Personnel Cost","Special Pays","Overtime - Comp","500133"
"Personnel","Personnel Cost","Special Pays","Overtime - Premium","500124"
"Personnel","Personnel Cost","Special Pays","Overtime - Straight","500123"
"Personnel","Personnel Cost","Special Pays","Personal Watercraft Pay","500142"
"Personnel","Personnel Cost","Special Pays","Pesticide App Licens","500114"
"Personnel","Personnel Cost","Special Pays","Plant/Tank Vol Cert Pay","500106"
"Personnel","Personnel Cost","Special Pays","Professional Geologist Pay","500152"
"Personnel","Personnel Cost","Special Pays","Rescue Pay Station 4","500107"
"Personnel","Personnel Cost","Special Pays","Salaries & Wages Billed","500127"
"Personnel","Personnel Cost","Special Pays","Service Pay","500155"
"Personnel","Personnel Cost","Special Pays","Shift Commander Pay","500165"
"Personnel","Personnel Cost","Special Pays","Shift Rotation Pay","500156"
"Personnel","Personnel Cost","Special Pays","Shift Rotation Pay","516056"
"Personnel","Personnel Cost","Special Pays","Sick Leave - Hourly","500134"
"Personnel","Personnel Cost","Special Pays","Small Eq Repair","500100"
"Personnel","Personnel Cost","Special Pays","Special Assignment Pay","500157"
"Personnel","Personnel Cost","Special Pays","Sr Data Entry Opr","500105"
"Personnel","Personnel Cost","Special Pays","Surf Boat Operator Cert Pay","500141"
"Personnel","Personnel Cost","Special Pays","Tactical Flight Officer Pay","500138"
"Personnel","Personnel Cost","Special Pays","Unstaffed Aerial Vehicle Pay","500167"
"Personnel","Personnel Cost","Special Pays","Vector Control Tech","500115"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","800 Mhz Radio System","422301"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","AB939 Fee-City","422151"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","AB939 Fee (Franchised)","422153"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","AB939 Fee (Non-Franchised)","422152"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Abandoned Vehicle Abatement","422064"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Adult Athletic Fees","422131"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Adult Library Fines","417065"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Annual Subscription Full Docket","422244"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Annual Subscription Mini Docket","422245"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Art Marts Fees","422125"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","As Built Map Fees","422070"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Assmt Dist-Field","422282"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","ATF Reim 4 Mast-Fire","420050"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Athletic Field Reservations - Adult","422135"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Athletic Field Reservations - Youth","422134"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Beach/Bay Equipment Setup","422298"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Bid Packets Revenue & Misc DSD Fees","422002"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Bindery Operations","424075"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Bindery Services","424038"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Blue Curb Install","422161"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Blueline/Brownline","424035"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Board Of Appeals Submittals","422058"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Boat Motor Rentals","422238"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Building Use Fees","418073"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Building Use Fees - TL","422300"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Burial Liners & Vaults","422037"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Business Fire Prevention Inspection Fees","422287"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Cable TV Revenues","422147"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Cal Card Rebate","422067"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Candidate Qualification","422008"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Capacity Charges Sewer System","422104"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Capacity Charges Water System","422088"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Catering","422173"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Catering - Meeting Rooms","422297"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","CBC Seminars","422286"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","CCMD Refuse Collection","422229"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","CEC Renewable Incentive","422164"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","CED EDA/RLF Grant Admin","423088"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","CEDMAT Inspections","422292"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","CEDMAT Permit Fees","422236"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Cemetery Handling Fees","422040"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Central Stores Inter-Office Mail","424034"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Central Stores Materials","424032"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Central Stores Surcharge","424033"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Certificate Of Compliance/Correction","422003"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Certificate Of Correction","416174"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Chlorinating New Mains","422085"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Chula Vista Dispatch Contract","422281"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","City Attorney Grants","420032"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","City Heights Maint Fund Reimbursement","423082"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","City Surcharge","418069"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","COBRA Admin Surcharge","422143"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Community Service Centers Passport Fees","422051"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Community Service Centers Services","424049"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Complaint Reinspection","422063"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Connections To New Mains","422084"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Contracts Processing Svcs to Other Funds","424052"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Copies Of Various Council Approved Matte","422248"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Copies Stmts of Economic Int, Campaign","422247"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","County Library Reimbursement","420025"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Crossroads T/I","423131"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Curb Install G/Y/W/R","422162"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Curbside Recycling","422223"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Dance Costumes","422332"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Dance Fees","422126"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Delivery Auto Recycling Containers","422266"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Delivery Auto Refuse Containers","422267"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Dep Fees (DSD)","422014"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Disposal Fee - City","422155"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Disposal Fee (Franchised)","422157"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Disposal Fee (Non-Franchised)","422156"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Driving Range Fees","422227"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","DSD-GF Activities Reimb","422006"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","DSD Prelim Review Fees","422016"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","E&CP Sub/Dep/T&DD","423098"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","E&CP Svcs to Franchise Util","423097"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","E&D CA Consulting Services","424065"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","EDD Bus Finance--IDB Program","424064"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","EDD Svcs to EMTEK-Phase I","423089"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Educational Fire Prevention Inspection F","422288"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Election Filing-City Attorney","422322"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Election Filing-City Council","422323"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Election Filing-Mayor","422009"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Electric Services to Other Funds","424063"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Employee Records Background Checks","422234"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","EMS Revenues","422052"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","EMS SD Airport Agreement","420035"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Enterprise Zone Svcs to Chula Vista per","422257"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Enterprise Zone Svcs to National City pe","422258"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Enterprise Zone Svcs to Port District pe","422259"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Enterprise Zone Voucher","422218"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Enterprise Zone Voucher Pgm Admin","422260"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Entire Recorded Meetings CD","422246"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Environmental Growth Fund Reimbursement","424092"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Equip Set-Up Fees","422116"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Exempt Tons Subsidy","422150"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","EZ Voucher Fee Pgm-Chula Vista","422254"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","EZ Voucher Fee Pgm-National City","422255"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","EZ Voucher Fee Pgm-Port District","422256"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","False Alarm Penalty","417063"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","FBA Reimb to Transnet","422175"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Fee For City Charter at Front Counter","422243"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Fee For City Charter by Mail","422242"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Fee For District Maps","422249"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Fingerprinting Fees","422046"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Fire Company Inspection Program","422061"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Fire Dept Services","422055"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Fire Dept Standby Services","422235"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Fire Dispatch-Other Cities","422178"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Firefighter/EMS Interfund","424059"
"Charges for Current Services","Charges for Current Services","Charges for Current Services","Fleet Operations Assignment Charge","424043"
